to,from,dashes
2726,2672,
2724,2672,
2723,2668,
2719,2673,
2718,2673,
2717,2708,
2715,2716,
2713,2716,
2706,2665,
2704,2665,
2702,2664,
2700,2664,
2699,2664,
2698,2673,
2697,2696,
2694,2665,
2693,2671,
2692,2665,
2688,2664,
2687,2664,
2686,2684,
2685,2683,
2684,2682,
2683,2681,
2682,2680,
2681,2679,
2680,2678,
2679,2677,
2678,2676,
2677,2675,
2676,2674,
2675,2667,
2674,2665,
2672,2657,
2671,2663,True
2671,2664,True
2671,2667,True
2670,2664,True
2670,2668,True
2669,2667,
2668,2664,
2667,2663,
2665,2663,
2661,2659,True
2661,2660,True
2660,2659,
2659,2657,
2658,2657,
